Table S3H. Media composition,,,
"In silico media composition. The media composition is based on the experimentally characterized composition of the SP-4 media on which M. genitalium is generally cultured, with additional essential molecules added to support in silico cellular growth. Non-gaseous molecules are added to the extracellular environment at the beginning of the simulation and either drain or accumulate over the length of the simulation. Baseous molecules are continuously perfused into the extracellular environment and are maintained at a constant concentration throughout the simulation.",,,
,,,
ID,Name,Concentration mM,Comments
AC,acetate,"0,30",
AD,adenine,"0,15","Set to value in Serrano et al M. pneumoniae minimal media [PUB_0614].
"
AEPP,2-aminoethylphosphonate,"1,00","Added to media to allow phosphonate uptake and fit observed phosphate transporter (MG_410-2) gene essentiality.

Typical phosphonate concetrations:

• Brine: 0.1-10 mg/L [PUB_0769]
• Fresh water: 0.02 mg/L [PUB_0769]
• Tetrahymena: 0-10 mM [PUB_0770]
• Penicillium notatum media sole phosphorous source: 1 mM [PUB_0771]
• E. coli medium organic phosphate source: 2 mM [PUB_0772]
• Microbial growth media: 4 mM [PUB_0773]
"
AlaAla,L-alanyl-L-alanine,"7,28",
anthranilate,2-aminobenzoic acid,"0,00",
ArgArg,L-arginyl-L-arginine,"3,06",
AsnAsn,L-asparaginyl-L-asparagine,"0,06",
AspAsp,L-aspartyl-L-aspartic Acid,"7,82",
CA,calcium ion,"1,97",
CHOL,choline,"0,02",
CL,chloride ion,"97,08",
CO,cobalt ion,"0,48",Set to same concentration as Mg2+.
CO2,carbon dioxide,"1,70",Incubator provides 5% CO2 = 38 mmHg. Equilbrium constant of solvation is 29.41 L*atm/mol [PUB_0171].
COA,coenzyme A,"0,00",
CU,cupric ion,"0,00",
CysCys,L-cysteinyl-L-cysteine,"3,18",
CYTD,cytidine,"0,08",Set to value in Serrano et al M. pneumoniae minimal media [PUB_0614].
DA,deoxyadenosine,"0,02",
DC,deoxycytidine,"0,03",
DDCA,Dodecanoate (n-C12:0),"0,33",SP4 media composition calculations estimated SP4 media contains 13 mg DDCA / L. However the simulation suggests additional DDCA is required for growth. Concentration set to 65 mg / L to support growth.
DG,deoxyguanosine,"0,02",
DHF,dihydrofolate,"0,00",
DT,thymidine,"0,02",
FAD,"flavin adenine dinucleotide, oxidized","0,00",
FE3,ferric iron,"0,01",
GL,glycerol,"0,33",SP4 media composition calculations estimated SP4 media contains 6 mg glycerol / L. However the simulation suggests additional glycerol is required for growth. Concentration set to 30 mg / L to support growth.
GLC,D-Glucose,"32,95",
GlnGln,L-glutaminyl-L-glutamine,"0,72",
GluGlu,L-glutamyl-L-glutamic acid,"13,48",
GlyGly,L-glycyl-L-glycine,"7,83",
GN,guanine,"0,13",Set to value in Serrano et al M. pneumoniae minimal media [PUB_0614].
H,hydrogen ion,"0,50",pH 7.5 is equal to a concentration of 3.16e-5 mM. However the simulation suggests additional hydrogen is required for growth. Concentration set to 0.5 mM to support growth.
H2O,water,"54579,20",
H2O2,hydrogen peroxide,"0,03",Concentration set to 1 g/mL.
HDCA,Hexadecanoate (n-C16:0),"0,31",SP4 media composition calculations estimated SP4 media contains 16 mg HDCA / L. However the simulation suggests additional HDCA is required for growth. Concentration set to 80 mg / L to support growth.
HDCEA,Hexadecenoate (n-C16:1),"0,32",SP4 media composition calculations estimated SP4 media contains 16 mg HDCEA / L. However the simulation suggests additional HDCEA is required for growth. Concentration set to 80 mg / L to support growth.
HisHis,L-histidyl-L-histidine,"2,39",
HYXN,hypoxanthine,"0,01",
IleIle,L-isoleucyl-L-isoleucine,"4,07",
INOS,myo-inositol,"0,00",
K,potassium ion,"9,32",
LeuLeu,L-leucyl-L-leucine,"7,82",
LIPOATE,lipoate,"0,00","Needed for model to predict positive growth. Added at concentration of 0.05 mg/L.
"
LysLys,L-lysyl-L-lysine,"6,30",
m5dC,5-methyl-2'-deoxycytidine,"0,00",
MetMet,L-methionyl-L-methionine,"1,79",
MG,magnesium ion,"0,48",
MN,manganese ion,"0,48",Set to same concentration as Mg2+.
MOBD,Molybdate,"0,48",Set to same concentration as Mg2+.
NA,sodium ion,"99,39",
NAC,nicotinate,"0,00",
