Table S3H. Media composition,,,
"In silico media composition. The media composition is based on the experimentally characterized composition of the SP-4 media on which M. genitalium is generally cultured, with additional essential molecules added to support in silico cellular growth. Non-gaseous molecules are added to the extracellular environment at the beginning of the simulation and either drain or accumulate over the length of the simulation. Baseous molecules are continuously perfused into the extracellular environment and are maintained at a constant concentration throughout the simulation.",,,
,,,
ID,Name,Concentration mM,Comments
AC,acetate,"0,304753",
AD,adenine,"0,148000","Set to value in Serrano et al M. pneumoniae minimal media [PUB_0614].
"
AEPP,2-aminoethylphosphonate,"1,000000","Added to media to allow phosphonate uptake and fit observed phosphate transporter (MG_410-2) gene essentiality.

Typical phosphonate concetrations:

• Brine: 0.1-10 mg/L [PUB_0769]
• Fresh water: 0.02 mg/L [PUB_0769]
• Tetrahymena: 0-10 mM [PUB_0770]
• Penicillium notatum media sole phosphorous source: 1 mM [PUB_0771]
• E. coli medium organic phosphate source: 2 mM [PUB_0772]
• Microbial growth media: 4 mM [PUB_0773]
"
AlaAla,L-alanyl-L-alanine,"7,275520",
anthranilate,2-aminobenzoic acid,"0,000184",
ArgArg,L-arginyl-L-arginine,"3,055440",
AsnAsn,L-asparaginyl-L-asparagine,"0,056133",
AspAsp,L-aspartyl-L-aspartic Acid,"7,819620",
CA,calcium ion,"1,968600",
CHOL,choline,"0,019430",
CL,chloride ion,"97,079100",
CO,cobalt ion,"0,480031",Set to same concentration as Mg2+.
CO2,carbon dioxide,"1,700100",Incubator provides 5% CO2 = 38 mmHg. Equilbrium constant of solvation is 29.41 L*atm/mol [PUB_0171].
COA,coenzyme A,"0,001637",
CU,cupric ion,"0,000356",
CysCys,L-cysteinyl-L-cysteine,"3,181370",
CYTD,cytidine,"0,082231",Set to value in Serrano et al M. pneumoniae minimal media [PUB_0614].
DA,deoxyadenosine,"0,019901",
DC,deoxycytidine,"0,025526",
DDCA,Dodecanoate (n-C12:0),"0,326127",SP4 media composition calculations estimated SP4 media contains 13 mg DDCA / L. However the simulation suggests additional DDCA is required for growth. Concentration set to 65 mg / L to support growth.
DG,deoxyguanosine,"0,018710",
DHF,dihydrofolate,"0,000028",
